Time (s),Color,ROI Coordinates (x,y,w,h)
17.17,Yellow,(200, 55, 120, 320)
17.20,Yellow,(200, 55, 120, 320)
17.23,Yellow,(200, 55, 120, 320)
17.27,Yellow,(200, 55, 120, 320)
17.30,Yellow,(200, 55, 120, 320)
17.33,Yellow,(200, 55, 120, 320)
17.37,Yellow,(200, 55, 120, 320)
17.40,Yellow,(200, 55, 120, 320)
17.43,Yellow,(200, 55, 120, 320)
17.47,Yellow,(200, 55, 120, 320)
17.50,Yellow,(200, 55, 120, 320)
17.53,Yellow,(200, 55, 120, 320)
17.57,Yellow,(200, 55, 120, 320)
17.60,Yellow,(200, 55, 120, 320)
17.63,Yellow,(200, 55, 120, 320)
17.67,Yellow,(200, 55, 120, 320)
17.70,Yellow,(200, 55, 120, 320)
17.73,Yellow,(200, 55, 120, 320)
17.77,Yellow,(200, 55, 120, 320)
17.80,Yellow,(200, 55, 120, 320)
17.83,Yellow,(200, 55, 120, 320)
17.87,Yellow,(200, 55, 120, 320)
17.90,Yellow,(200, 55, 120, 320)
17.93,Yellow,(200, 55, 120, 320)
17.97,Yellow,(200, 55, 120, 320)
18.00,Yellow,(200, 55, 120, 320)
18.03,Yellow,(200, 55, 120, 320)
18.07,Yellow,(200, 55, 120, 320)
18.10,Yellow,(200, 55, 120, 320)
18.13,Yellow,(200, 55, 120, 320)
18.17,Yellow,(200, 55, 120, 320)
18.20,Yellow,(200, 55, 120, 320)
18.23,Yellow,(200, 55, 120, 320)
18.27,Yellow,(200, 55, 120, 320)
18.30,Yellow,(200, 55, 120, 320)
18.80,Red,(200, 55, 120, 320)
18.83,Red,(200, 55, 120, 320)
18.87,Red,(200, 55, 120, 320)
18.90,Red,(200, 55, 120, 320)
18.93,Red,(200, 55, 120, 320)
18.97,Red,(200, 55, 120, 320)
19.00,Red,(200, 55, 120, 320)
19.03,Red,(200, 55, 120, 320)
19.07,Red,(200, 55, 120, 320)
19.10,Red,(200, 55, 120, 320)
19.13,Red,(200, 55, 120, 320)
19.17,Red,(200, 55, 120, 320)
19.20,Red,(200, 55, 120, 320)
19.23,Red,(200, 55, 120, 320)
19.27,Red,(200, 55, 120, 320)
19.30,Red,(200, 55, 120, 320)
19.33,Red,(200, 55, 120, 320)
19.37,Red,(200, 55, 120, 320)
19.40,Red,(200, 55, 120, 320)
19.43,Red,(200, 55, 120, 320)
19.47,Red,(200, 55, 120, 320)
19.50,Red,(200, 55, 120, 320)
19.53,Red,(200, 55, 120, 320)
19.57,Red,(200, 55, 120, 320)
19.60,Red,(200, 55, 120, 320)
19.63,Red,(200, 55, 120, 320)
19.67,Red,(200, 55, 120, 320)
19.70,Red,(200, 55, 120, 320)
19.73,Red,(200, 55, 120, 320)
19.77,Red,(200, 55, 120, 320)
19.80,Red,(200, 55, 120, 320)
19.83,Red,(200, 55, 120, 320)
19.87,Red,(200, 55, 120, 320)
19.90,Red,(200, 55, 120, 320)
19.93,Red,(200, 55, 120, 320)
19.97,Red,(200, 55, 120, 320)
20.00,Red,(200, 55, 120, 320)
20.03,Red,(200, 55, 120, 320)
20.07,Red,(200, 55, 120, 320)
20.10,Red,(200, 55, 120, 320)
20.13,Red,(200, 55, 120, 320)
20.17,Red,(200, 55, 120, 320)
20.20,Red,(200, 55, 120, 320)
20.23,Red,(200, 55, 120, 320)
20.27,Red,(200, 55, 120, 320)
20.30,Red,(200, 55, 120, 320)
20.33,Red,(200, 55, 120, 320)
20.37,Red,(200, 55, 120, 320)
20.40,Red,(200, 55, 120, 320)
20.43,Red,(200, 55, 120, 320)
20.47,Red,(200, 55, 120, 320)
20.50,Red,(200, 55, 120, 320)
20.53,Red,(200, 55, 120, 320)
20.57,Red,(200, 55, 120, 320)
20.60,Red,(200, 55, 120, 320)
20.63,Red,(200, 55, 120, 320)
20.67,Red,(200, 55, 120, 320)
20.70,Red,(200, 55, 120, 320)
20.73,Red,(200, 55, 120, 320)
20.77,Red,(200, 55, 120, 320)
20.80,Red,(200, 55, 120, 320)
20.83,Red,(200, 55, 120, 320)
20.87,Red,(200, 55, 120, 320)
20.90,Red,(200, 55, 120, 320)
20.93,Red,(200, 55, 120, 320)
20.97,Red,(200, 55, 120, 320)
21.00,Red,(200, 55, 120, 320)
